,LAT,LON,ZipCode,cc,k2,k3,k4,k5,k6,k7,k8,k9,k10
10001,40.750633,-73.997177,10001,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10002,40.715775,-73.986212,10002,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10003,40.731829,-73.989181,10003,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10004,40.68863,-74.018244,10004,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10005,40.706027,-74.008835,10005,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10006,40.709614,-74.012954,10006,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10007,40.713848,-74.007755,10007,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10009,40.726399,-73.978631,10009,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10010,40.739065,-73.982255,10010,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10011,40.742039,-74.00062,10011,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10012,40.725581,-73.998078,10012,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10013,40.720103,-74.004903,10013,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10014,40.734012,-74.006746,10014,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10016,40.745224,-73.978297,10016,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10017,40.75236,-73.972493,10017,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10018,40.755319,-73.993114,10018,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10019,40.765823,-73.987169,10019,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10021,40.769258,-73.958751,10021,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10022,40.758628,-73.967948,10022,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10023,40.775921,-73.982607,10023,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10024,40.798452,-73.974428,10024,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10025,40.798601,-73.966622,10025,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10026,40.802381,-73.952681,10026,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10027,40.811407,-73.95306,10027,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10028,40.776441,-73.953509,10028,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10029,40.791763,-73.94397,10029,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10030,40.818267,-73.942856,10030,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
10031,40.825288,-73.950045,10031,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0
