,LAT,LON,Sanitation,Food,Homeless,Neighbourhood,Noise,ZipCode
10001,40.750633,-73.997177,993.0,281.0,3501.0,815.0,4882.0,10001
10002,40.715775,-73.986212,1756.0,247.0,625.0,1960.0,8631.0,10002
10003,40.731829,-73.989181,1465.0,399.0,4377.0,1209.0,6344.0,10003
10004,40.68863,-74.018244,97.0,70.0,311.0,260.0,533.0,10004
10005,40.706027,-74.008835,71.0,35.0,321.0,272.0,1022.0,10005
10006,40.709614,-74.012954,46.0,21.0,145.0,144.0,567.0,10006
10007,40.713848,-74.007755,155.0,88.0,360.0,461.0,1179.0,10007
10009,40.726399,-73.978631,1481.0,144.0,1348.0,816.0,7564.0,10009
10010,40.739065,-73.982255,706.0,186.0,1106.0,506.0,2838.0,10010
10011,40.742039,-74.00062,1654.0,328.0,2610.0,1019.0,4141.0,10011
10012,40.725581,-73.998078,926.0,233.0,1575.0,781.0,3929.0,10012
10013,40.720103,-74.004903,1092.0,304.0,859.0,1191.0,3412.0,10013
10014,40.734012,-74.006746,1292.0,186.0,896.0,1027.0,3719.0,10014
10016,40.745224,-73.978297,1157.0,310.0,2455.0,1058.0,5824.0,10016
10017,40.75236,-73.972493,289.0,235.0,1994.0,462.0,1464.0,10017
10018,40.755319,-73.993114,394.0,188.0,1933.0,393.0,1364.0,10018
10019,40.765823,-73.987169,1246.0,295.0,3009.0,1208.0,4490.0,10019
10020,40.758236,-73.978833,17.0,12.0,58.0,41.0,21.0,10020
10021,40.769258,-73.958751,760.0,134.0,553.0,774.0,1764.0,10021
10022,40.758628,-73.967948,757.0,252.0,1478.0,1046.0,2041.0,10022
10023,40.775921,-73.982607,909.0,186.0,3492.0,845.0,2805.0,10023
10024,40.798452,-73.974428,1134.0,161.0,1654.0,884.0,3267.0,10024
10025,40.798601,-73.966622,2483.0,215.0,1895.0,1081.0,6061.0,10025
10026,40.802381,-73.952681,1432.0,113.0,653.0,462.0,4426.0,10026
10027,40.811407,-73.95306,2039.0,174.0,1184.0,800.0,6886.0,10027
10028,40.776441,-73.953509,935.0,156.0,588.0,578.0,2654.0,10028
10029,40.791763,-73.94397,2066.0,474.0,554.0,734.0,6511.0,10029
10030,40.818267,-73.942856,1513.0,45.0,167.0,276.0,3891.0,10030
10031,40.825288,-73.950045,2699.0,116.0,479.0,467.0,10029.0,10031
10032,40.838815,-73.942836,2330.0,82.0,144.0,571.0,7603.0,10032
10033,40.850545,-73.933983,1871.0,97.0,120.0,586.0,7264.0,10033
10034,40.867076,-73.924312,1917.0,164.0,61.0,678.0,8401.0,10034
10035,40.795455,-73.929655,1475.0,85.0,1562.0,370.0,3677.0,10035
10036,40.75926,-73.98986,1099.0,282.0,3848.0,564.0,4058.0,10036
10037,40.812957,-73.937376,686.0,39.0,360.0,172.0,1314.0,10037
10038,40.709278,-74.002562,356.0,122.0,538.0,492.0,2300.0,10038
10039,40.830867,-73.936218,756.0,49.0,47.0,197.0,3800.0,10039
10040,40.858305,-73.930549,1441.0,83.0,35.0,444.0,9288.0,10040
10041,40.7541,-73.9763,1.0,1.0,2.0,24.0,6.0,10041
10044,40.761915,-73.949962,54.0,5.0,4.0,14.0,74.0,10044
10045,,,0.0,0.0,0.0,1.0,2.0,10045
10048,,,0.0,0.0,0.0,2.0,0.0,0
10069,40.775906,-73.990358,28.0,2.0,6.0,34.0,124.0,10069
10103,40.76078,-73.97767,2.0,2.0,10.0,3.0,1.0,10103
10105,,,2.0,1.0,3.0,3.0,0.0,0
10106,,,0.0,1.0,1.0,0.0,9.0,10106
10107,40.766,-73.9825,0.0,0.0,5.0,1.0,2.0,10107
10110,40.754499,-73.982256,0.0,1.0,21.0,5.0,0.0,0
10111,40.759114,-73.977596,0.0,1.0,0.0,6.0,1.0,10111
10112,40.759167,-73.979668,2.0,10.0,4.0,5.0,1.0,10112
10115,40.810852,-73.963744,1.0,0.0,2.0,0.0,0.0,0
10118,40.7484,-73.9856,2.0,3.0,15.0,1.0,14.0,10118
10119,40.75031,-73.992979,3.0,6.0,54.0,5.0,11.0,10119
10120,40.749,-73.998,3.0,0.0,4.0,0.0,1.0,10120
10121,40.7493,-73.9918,3.0,3.0,23.0,3.0,24.0,10121
10122,,,0.0,0.0,4.0,0.0,0.0,0
10123,40.7518,-73.9916,1.0,1.0,6.0,0.0,1.0,10123
10128,40.781432,-73.950013,1139.0,101.0,250.0,590.0,3519.0,10128
10151,40.764,-73.976,0.0,0.0,2.0,0.0,0.0,0
10152,40.758404,-73.972031,0.0,0.0,0.0,1.0,0.0,0
10153,40.763622,-73.972439,,,,,,
10154,40.757779,-73.972487,1.0,0.0,17.0,1.0,0.0,0
