,NUM,LAT,LON,cc,k2,k3,k4,k5,k6,k7,k8,k9,k10,ZipCode
10001,18072.0,40.750633,-73.997177,0,1,2,2,1,3,0,2,2,2,10001
10002,25007.0,40.715775,-73.986212,0,1,2,2,1,3,0,2,2,2,10002
10003,25307.0,40.731829,-73.989181,0,1,2,2,1,3,0,2,2,2,10003
10004,2711.0,40.68863,-74.018244,0,1,2,2,1,3,0,2,2,2,10004
10005,3096.0,40.706027,-74.008835,0,1,2,2,1,3,0,2,2,9,10005
10006,1627.0,40.709614,-74.012954,0,1,2,2,1,3,0,2,2,2,10006
10007,4673.0,40.713848,-74.007755,0,1,2,2,1,3,0,2,2,9,10007
10009,21406.0,40.726399,-73.978631,0,1,2,2,1,3,0,2,2,2,10009
10010,10271.0,40.739065,-73.982255,0,1,2,2,1,3,0,2,2,2,10010
10011,19953.0,40.742039,-74.00062,0,1,2,2,1,3,0,2,2,2,10011
10012,13654.0,40.725581,-73.998078,0,1,2,2,1,3,0,2,2,2,10012
10013,14037.0,40.720103,-74.004903,0,1,2,2,1,3,0,2,2,2,10013
10014,14214.0,40.734012,-74.006746,0,1,2,2,1,3,0,2,2,2,10014
10016,19929.0,40.745224,-73.978297,0,1,2,2,1,3,0,2,2,2,10016
10017,8824.0,40.75236,-73.972493,0,1,2,2,1,3,0,2,2,2,10017
10018,8304.0,40.755319,-73.993114,0,1,2,2,1,3,0,2,2,2,10018
10019,23117.0,40.765823,-73.987169,0,1,2,2,1,3,0,2,2,2,10019
10020,471.0,40.758236,-73.978833,0,1,2,2,1,3,0,2,2,9,10020
10021,10999.0,40.769258,-73.958751,0,1,2,2,1,3,0,2,2,2,10021
10022,11984.0,40.758628,-73.967948,0,1,2,2,1,3,0,2,2,2,10022
10023,16422.0,40.775921,-73.982607,0,1,2,2,1,3,0,2,2,2,10023
10024,16648.0,40.798452,-73.974428,0,1,2,2,1,3,0,2,2,2,10024
10025,26484.0,40.798601,-73.966622,0,1,2,2,1,3,0,2,2,2,10025
10026,14099.0,40.802381,-73.952681,0,1,2,2,1,3,0,2,2,2,10026
10027,24289.0,40.811407,-73.95306,0,1,2,2,1,3,0,2,2,2,10027
10028,10979.0,40.776441,-73.953509,0,1,2,2,1,3,0,2,2,9,10028
10029,22542.0,40.791763,-73.94397,0,1,2,2,1,3,0,2,2,2,10029
10030,13716.0,40.818267,-73.942856,0,1,2,2,1,3,0,2,2,2,10030
10031,34661.0,40.825288,-73.950045,0,1,2,2,1,3,0,2,2,2,10031
10032,27429.0,40.838815,-73.942836,0,1,2,2,1,3,0,2,2,2,10032
10033,25924.0,40.850545,-73.933983,0,1,2,2,1,3,0,2,2,2,10033
10034,24579.0,40.867076,-73.924312,0,1,2,2,1,3,0,2,2,9,10034
10035,14676.0,40.795455,-73.929655,0,1,2,2,1,3,0,2,2,9,10035
10036,19816.0,40.75926,-73.98986,0,1,2,2,1,3,0,2,2,9,10036
10037,7259.0,40.812957,-73.937376,0,1,2,2,1,3,0,2,2,2,10037
10038,7551.0,40.709278,-74.002562,0,1,2,2,1,3,0,2,2,9,10038
10039,10084.0,40.830867,-73.936218,0,1,2,2,1,3,0,2,2,2,10039
10040,24842.0,40.858305,-73.930549,0,1,2,2,1,3,0,2,2,2,10040
10041,55.0,40.7541,-73.9763,0,1,2,2,1,3,0,2,2,2,10041
